FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363373.211852 RUNNING 2131712 2131152
1787363373.315902 RUNNING 2136832 2136145
1787363373.419908 RUNNING 2141696 2141138
1787363373.524814 RUNNING 2146816 2146178
1787363373.630306 RUNNING 2151936 2151219
1787363373.733816 RUNNING 2156800 2156212
1787363373.837503 RUNNING 2161920 2161156
1787363373.940921 RUNNING 2166784 2166149
1787363374.044230 RUNNING 2171648 2171094
1787363374.148418 RUNNING 2176768 2176086
1787363374.253839 RUNNING 2181888 2181175
1787363374.357268 RUNNING 2186752 2186120
1787363374.460608 RUNNING 2191616 2191064
1787363374.563975 RUNNING 2196736 2196057
1787363374.668015 RUNNING 2201600 2201050
1787363374.772750 RUNNING 2206720 2206042
1787363374.877350 RUNNING 2211840 2211083
1787363374.982291 RUNNING 2216704 2216124
1787363375.085587 RUNNING 2221824 2221068
1787363375.189030 RUNNING 2226688 2226061
1787363375.292464 RUNNING 2231552 2231006
1787363375.396314 RUNNING 2236672 2235998
1787363375.499527 RUNNING 2241536 2240943
1787363375.602962 RUNNING 2246656 
1787363375.706350 RUNNING 2251520 2250880
1787363375.809455 RUNNING 2256384 2255825
1787363375.913085 RUNNING 2261504 2260818
1787363376.016704 RUNNING 2266368 2265762
1787363376.120031 RUNNING  2270707
1787363376.223941 RUNNING 2276352 
1787363376.327927 RUNNING 2281216 2280692
1787363376.432785 RUNNING 2286336 2285733
1787363376.537860 RUNNING 2291456 2290774
1787363376.642452 RUNNING 2296576 2295815
1787363376.745870 RUNNING 2301440 2300759
1787363376.849686 RUNNING 2306304 2305752
1787363376.953773 RUNNING 2311424 2310745
1787363377.057163 RUNNING 2316288 
1787363377.160770 RUNNING 2321408 2320682
1787363377.265344 RUNNING 2326272 2325723
1787363377.368882 RUNNING 2331392 2330667
1787363377.472295 RUNNING 2336256 2335660
1787363377.576681 RUNNING 2341376 2340653
1787363377.682624 RUNNING 2346496 2345741
1787363377.786665 RUNNING 2351360 2350734
1787363377.895266 RUNNING 2356480 2355967
1787363377.999032 RUNNING 2361600 2360911
1787363378.102363 RUNNING 2366464 2365904
1787363378.206115 RUNNING 2371584 2370849
1787363378.309723 RUNNING 2376448 2375841
1787363378.413508 RUNNING 2381568 2380834
1787363378.526563 RUNNING 2386944 2386259
1787363378.631063 RUNNING 2391808 2391251
1787363378.735669 RUNNING 2396928 2396292
1787363378.840633 RUNNING 2402048 2401333
1787363378.944260 RUNNING 2406912 2406277
1787363379.047453 RUNNING 2412032 
