FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363030.365158 RUNNING 2224128 2221308
1787363030.470140 RUNNING 2229248 2226349
1787363030.575849 RUNNING 2234368 2231390
1787363030.679363 RUNNING 2238464 2236382
1787363030.782809 RUNNING 2243584 2241327
1787363030.885941 RUNNING 2248704 2246272
1787363030.989466 RUNNING 2253824 2251264
1787363031.093075 RUNNING 2258944 2256209
1787363031.196523 RUNNING 2264064 2261202
1787363031.299965 RUNNING 2269184 2266146
1787363031.403913 RUNNING 2273280 2271139
1787363031.507617 RUNNING 2278400 2276132
1787363031.611203 RUNNING 2283520 2281124
1787363031.715715 RUNNING 2288640 2286117
1787363031.819328 RUNNING 2293760 2291110
1787363031.924377 RUNNING 2298880 2296150
1787363032.030706 RUNNING 2304000 2301239
1787363032.135217 RUNNING 2309120 2306232
1787363032.238739 RUNNING 2314240 2311224
1787363032.342303 RUNNING 2318336 2316169
1787363032.445413 RUNNING 2323456 2321162
1787363032.548550 RUNNING 2328576 2326106
1787363032.652047 RUNNING 2333696 2331051
1787363032.755395 RUNNING 2338816 2336044
1787363032.858717 RUNNING 2343936 2340988
1787363032.962271 RUNNING 2348032 2345933
1787363033.065776 RUNNING 2353152 2350926
1787363033.169420 RUNNING 2358272 2355870
1787363033.273152 RUNNING 2363392 2360863
1787363033.377844 RUNNING 2368512 2365904
1787363033.483761 RUNNING 2373632 2370992
1787363033.586945 RUNNING 2378752 2375937
1787363033.690715 RUNNING 2383872 2380930
1787363033.794379 RUNNING 2387968 2385874
1787363033.897853 RUNNING 2393088 2390867
1787363034.001337 RUNNING 2398208 2395812
1787363034.104506 RUNNING 2403328 2400756
1787363034.207653 RUNNING 2408448 2405701
1787363034.311045 RUNNING 2413568 2410694
1787363034.414597 RUNNING 2418688 2415638
1787363034.518125 RUNNING 2422784 2420631
1787363034.621268 RUNNING 2427904 2425576
1787363034.724719 RUNNING 2433024 2430520
1787363034.829294 RUNNING 2438144 2435561
1787363034.934045 RUNNING 2443264 2440602
1787363035.042096 RUNNING 2448384 2445787
1787363035.147887 RUNNING 2453504 2450875
1787363035.255835 RUNNING 2458624 
1787363035.359947 RUNNING 2463744 2461053
1787363035.464719 RUNNING 2468864 2466045
1787363035.569505 RUNNING 2473984 2471086
1787363035.675063 RUNNING 2479104 2476175
1787363035.778528 RUNNING 2483200 2481119
1787363035.882005 RUNNING  2486064
1787363035.985248 RUNNING 2493440 2491057
1787363036.088737 RUNNING 2498560 2496001
1787363036.191991 RUNNING 2503680 2500946
1787363036.295075 RUNNING  2505891
1787363036.398708 RUNNING 2513920 2510883
1787363036.502538 RUNNING 2518016 2515876
1787363036.608129 RUNNING  2520917
1787363036.712336 RUNNING 2528256 2525957
1787363036.816130 RUNNING  2530902
1787363036.920645 RUNNING 2538496 2535943
1787363037.023791 RUNNING 2543616 2540887
1787363037.126995 RUNNING 2548736 2545832
1787363037.230479 RUNNING 2553856 2550825
1787363037.334054 RUNNING 2557952 2555769
1787363037.437216 RUNNING 2563072 2560714
1787363037.540353 RUNNING 2568192 2565707
1787363037.643425 RUNNING 2573312 2570651
1787363037.746589 RUNNING 2578432 2575596
1787363037.849874 RUNNING 2583552 2580541
1787363037.953572 RUNNING 2587648 2585533
1787363038.056826 RUNNING 2592768 2590478
1787363038.160807 RUNNING 2597888 2595471
1787363038.267244 RUNNING 2603008 2600560
1787363038.370724 RUNNING 2608128 2605552
1787363038.473915 RUNNING 2613248 2610497
1787363038.577182 RUNNING 2618368 2615442
1787363038.681171 RUNNING 2623488 2620434
1787363038.785211 RUNNING 2627584 2625427
1787363038.888729 RUNNING 2632704 2630420
