FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363259.140184 RUNNING 2126336 2125296
1787363259.243566 RUNNING 2131456 2130240
1787363259.346825 RUNNING 2136576 2135233
1787363259.450642 RUNNING 2141696 2140178
1787363259.554055 RUNNING 2146304 2145170
1787363259.657283 RUNNING 2151424 2150115
1787363259.760628 RUNNING 2156544 2155060
1787363259.864055 RUNNING 2161152 2160052
1787363259.967352 RUNNING 2166272 2164997
1787363260.073005 RUNNING 2171392 2170086
1787363260.177468 RUNNING 2176512 2175078
1787363260.281750 RUNNING 2181120 2180071
1787363260.385581 RUNNING 2186240 2185064
1787363260.488817 RUNNING 2191360 2190008
1787363260.592439 RUNNING 2196480 2195001
1787363260.697651 RUNNING 2201088 2200042
1787363260.801463 RUNNING 2206208 2205034
1787363260.904917 RUNNING 2211328 2209979
1787363261.008255 RUNNING 2216448 2214972
1787363261.111768 RUNNING 2221056 2219916
1787363261.215024 RUNNING 2226176 2224861
1787363261.318206 RUNNING 2231296 2229854
1787363261.421687 RUNNING 2235904 2234799
1787363261.525065 RUNNING 2241024 2239743
1787363261.628274 RUNNING 2246144 2244736
1787363261.731622 RUNNING 2250752 2249681
1787363261.835063 RUNNING 2255872 2254625
1787363261.938281 RUNNING 2260992 2259618
1787363262.041915 RUNNING 2265600 2264563
1787363262.147190 RUNNING 2270720 2269651
1787363262.254477 RUNNING 2275840 2274788
1787363262.358314 RUNNING 2280960 2279781
1787363262.461614 RUNNING 2286080 2284725
1787363262.564791 RUNNING 2291200 2289670
1787363262.672145 RUNNING 2296320 2294807
1787363262.776013 RUNNING 2300928 2299799
1787363262.879078 RUNNING 2306048 2304744
1787363262.982234 RUNNING 2311168 2309689
1787363263.085968 RUNNING 2315776 2314681
1787363263.189684 RUNNING 2320896 2319674
1787363263.292833 RUNNING 2326016 2324619
1787363263.396302 RUNNING 2330624 2329563
1787363263.499771 RUNNING 2335744 2334556
1787363263.603141 RUNNING 2340864 2339501
1787363263.707960 RUNNING 2345984 2344589
1787363263.812447 RUNNING  
1787363263.922801 RUNNING 2356224 2354863
1787363264.026951 RUNNING 2361344 2359855
1787363264.131801 RUNNING 2365952 2364896
1787363264.235242 RUNNING 2371072 2369841
1787363264.338786 RUNNING 2376192 2374833
1787363264.442043 RUNNING 2381312 2379778
1787363264.545659 RUNNING 2385920 2384771
1787363264.650366 RUNNING 2391040 2389763
1787363264.756478 RUNNING 2396160 2394852
1787363264.859950 RUNNING 2401280 2399845
1787363264.963345 RUNNING 2405888 2404790
1787363265.066930 RUNNING 2411008 2409782
1787363265.171365 RUNNING 2416128 2414775
1787363265.279267 RUNNING 2421248 2419960
1787363265.382553 RUNNING 2426368 2424904
1787363265.485988 RUNNING 2430976 2429897
1787363265.589246 RUNNING 2436096 2434842
1787363265.692453 RUNNING 2441216 2439786
1787363265.795893 RUNNING 2445824 2444779
1787363265.899634 RUNNING 2450944 2449724
1787363266.002753 RUNNING  2454668
1787363266.106021 RUNNING 2461184 2459661
1787363266.209523 RUNNING 2465792 2464606
1787363266.312711 RUNNING 2470912 2469550
1787363266.415870 RUNNING 2476032 
1787363266.519866 RUNNING 2480640 
1787363266.624044 RUNNING 2485760 2484528
1787363266.727626 RUNNING 2490880 2489473
1787363266.831222 RUNNING 2496000 2494466
1787363266.935036 RUNNING 2500608 2499458
1787363267.040088 RUNNING 2505728 2504499
1787363267.144170 RUNNING 2510848 2509492
1787363267.247314 RUNNING 2515968 2514436
1787363267.350812 RUNNING 2520576 2519381
1787363267.453965 RUNNING  2524326
1787363267.557050 RUNNING 2530816 
1787363267.660626 RUNNING 2535424 2534263
1787363267.763874 RUNNING 2540544 2539208
1787363267.867293 RUNNING 2545664 2544200
1787363267.970954 RUNNING 2550272 2549145
1787363268.074052 RUNNING  2554090
1787363268.177218 RUNNING 2560512 2559082
1787363268.280856 RUNNING 2565120 2564027
1787363268.384731 RUNNING 2570240 2569020
1787363268.490136 RUNNING 2575360 2574108
1787363268.594084 RUNNING  2579053
1787363268.697781 RUNNING 2585088 2584046
1787363268.802870 RUNNING 2590208 2589134
1787363268.907253 RUNNING 2595328 2594127
1787363269.011106 RUNNING  2599072
1787363269.114614 RUNNING 2605568 2604064
1787363269.218257 RUNNING 2610176 2609057
1787363269.321516 RUNNING 2615296 2614002
1787363269.424792 RUNNING 2620416 2618946
1787363269.528208 RUNNING 2625024 2623891
1787363269.631332 RUNNING 2630144 2628884
1787363269.734528 RUNNING 2635264 2633829
1787363269.837982 RUNNING 2639872 2638773
1787363269.941654 RUNNING 2644992 2643766
1787363270.045174 RUNNING 2650112 2648711
1787363270.148714 RUNNING 2655232 2653703
1787363270.253056 RUNNING 2659840 2658696
1787363270.358449 RUNNING 2664960 2663785
1787363270.462799 RUNNING 2670080 2668777
1787363270.566052 RUNNING 2675200 2673722
1787363270.672200 RUNNING 2680320 2678811
1787363270.780135 RUNNING 2685440 2683995
1787363270.884191 RUNNING 2690048 2688988
1787363270.989395 RUNNING 2695168 2694029
1787363271.093528 RUNNING 2700288 2699069
1787363271.198593 RUNNING 2705408 2704110
1787363271.301732 RUNNING 2710528 2709055
1787363271.405227 RUNNING 2715136 2713999
1787363271.508405 RUNNING 2720256 2718944
1787363271.611521 RUNNING 2725376 
1787363271.714956 RUNNING 2729984 2728881
1787363271.818268 RUNNING 2735104 2733826
1787363271.921439 RUNNING 2740224 2738771
1787363272.025023 RUNNING 2744832 2743763
1787363272.129023 RUNNING 2749952 2748756
1787363272.234524 RUNNING  2753797
1787363272.340835 RUNNING 2760192 2758933
1787363272.444956 RUNNING 2765312 2763926
1787363272.548455 RUNNING 2769920 2768871
1787363272.651896 RUNNING 2775040 2773863
1787363272.755025 RUNNING 2780160 2778808
1787363272.858600 RUNNING 2785280 2783753
1787363272.962044 RUNNING 2789888 2788745
1787363273.065651 RUNNING 2795008 2793690
1787363273.169445 RUNNING 2800128 2798683
1787363273.273293 RUNNING 2804736 2803676
1787363273.377053 RUNNING 2809856 2808668
1787363273.480928 RUNNING 2814976 2813661
1787363273.585872 RUNNING 2820096 2818702
1787363273.692167 RUNNING 2825216 2823790
1787363273.796836 RUNNING 2829824 2828783
1787363273.900615 RUNNING 2834944 2833776
1787363274.003871 RUNNING  2838720
1787363274.107136 RUNNING 2845184 2843713
1787363274.210648 RUNNING 2849792 2848658
1787363274.313849 RUNNING 2854912 2853602
