Fake	15	none_below_15	{"name":"Fake ethno","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Fake Ethno.fxp","osc_count":2,"osc_types":[1,1],"unison_voices":2,"fx_count":1,"fx_types":[1],"filter1_type":9,"filter2_type":6,"patch_polylimit":16}
Fifth	15	none_below_15	{"name": "Fifth Seq", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Fifth Seq.fxp", "error": "not well-formed (invalid token): line 1, column 23977"}
Fireflies	13	15	{"name":"Fireflies","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Fireflies.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":2,"fx_types":[3,22],"filter1_type":10,"filter2_type":0,"patch_polylimit":64}
Forte	7	9	{"name": "Forte Piano", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Forte Piano.fxp", "error": "not well-formed (invalid token): line 1, column 26585"}
Gate	15	none_below_15	{"name":"Gatechord","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Gate Chord.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":1,"fx_types":[1],"filter1_type":3,"filter2_type":0,"patch_polylimit":8}
Gods	15	none_below_15	{"name": "Gods", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Gods.fxp", "error": "not well-formed (invalid token): line 1, column 95"}
House	5	7	{"name":"House Organ","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/House Organ.fxp","osc_count":3,"osc_types":[1,1,1],"unison_voices":6,"fx_count":3,"fx_types":[6,6,1],"filter1_type":0,"filter2_type":0,"patch_polylimit":16}
Irrelevant	7	9	{"name": "Irrelevant Number", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Irrelevant Number.fxp", "error": "not well-formed (invalid token): line 1, column 37747"}
Kick	3	5	{"name": "Kick", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Kick.fxp", "error": "not well-formed (invalid token): line 1, column 30480"}
Koala	15	none_below_15	{"name":"Koala 1","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Koala 1.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":1,"fx_types":[1],"filter1_type":2,"filter2_type":0,"patch_polylimit":16}
Legato	15	none_below_15	{"name":"Legato Bass","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Legato Bass.fxp","osc_count":3,"osc_types":[9,9,8],"unison_voices":1,"fx_count":1,"fx_types":[15],"filter1_type":11,"filter2_type":26,"patch_polylimit":16}
Major	15	none_below_15	{"name":"Major 7 mk2","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Major 7 MkII.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":1,"fx_types":[1],"filter1_type":1,"filter2_type":0,"patch_polylimit":16}
Metallic	15	none_below_15	{"name": "Metallic Arp", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Metallic Arp.fxp", "error": "not well-formed (invalid token): line 1, column 26553"}
Minor	3	5	{"name":"Minor 7","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Minor 7.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":1,"fx_types":[1],"filter1_type":1,"filter2_type":0,"patch_polylimit":16}
Minor	15	none_below_15	{"name": "Minor Chord Retro Stab", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Minor Chord Retro Stab.fxp", "error": "not well-formed (invalid token): line 1, column 23222"}
Moogaroo	15	none_below_15	{"name":"Moogaroo","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Moogaroo.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":2,"fx_types":[9,11],"filter1_type":15,"filter2_type":13,"patch_polylimit":16}
Oberheim	15	none_below_15	{"name":"Buggy Brass","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Oberheim Dreams.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":2,"fx_types":[1,2],"filter1_type":2,"filter2_type":0,"patch_polylimit":64}
Orbit	15	none_below_15	{"name": "Orbit and Sub", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Orbit and Sub.fxp", "error": "not well-formed (invalid token): line 1, column 24314"}
Overdriven	15	none_below_15	{"name": "Overdriven Guitar + Wah", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Overdriven Guitar + Wah.fxp", "error": "not well-formed (invalid token): line 1, column 32920"}
Planar	5	7	{"name":"Planar device","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Planar Device.fxp","osc_count":3,"osc_types":[10,10,11],"unison_voices":25,"fx_count":2,"fx_types":[9,22],"filter1_type":11,"filter2_type":0,"patch_polylimit":16}
Qealchee	15	none_below_15	{"name":"Qealchee","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Qealchee.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":1,"fx_types":[1],"filter1_type":2,"filter2_type":0,"patch_polylimit":16}
Res	5	7	{"name": "Res Wave Shift", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Res Wave Shift.fxp", "error": "not well-formed (invalid token): line 1, column 33129"}
Reso	15	none_below_15	{"name":"Reso Brassy","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Reso Brassy.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":1,"fx_types":[1],"filter1_type":1,"filter2_type":1,"patch_polylimit":64}
Rhody	15	none_below_15	{"name":"Rhody EP","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Rhody EP.fxp","osc_count":3,"osc_types":[6,6,6],"unison_voices":0,"fx_count":0,"fx_types":[],"filter1_type":0,"filter2_type":0,"patch_polylimit":16}
Scratched	13	15	{"name": "Scratched Arp", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Scratched Arp.fxp", "error": "not well-formed (invalid token): line 1, column 35579"}
Snare	15	none_below_15	{"name":"Snare","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Snare.fxp","osc_count":2,"osc_types":[1,1],"unison_voices":2,"fx_count":1,"fx_types":[6],"filter1_type":3,"filter2_type":0,"patch_polylimit":16}
String	15	none_below_15	{"name": "String Quartet", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/String Quartet.fxp", "error": "not well-formed (invalid token): line 1, column 25733"}
Tom	15	none_below_15	{"name":"Tom L","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Tom L.fxp","osc_count":2,"osc_types":[1,1],"unison_voices":2,"fx_count":1,"fx_types":[6],"filter1_type":4,"filter2_type":10,"patch_polylimit":16}
Warm	7	9	{"name": "Warm Reception", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Warm Reception.fxp", "error": "not well-formed (invalid token): line 1, column 25937"}
