FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=10s hz=10
1787362672.891007 RUNNING 18332672 
1787362672.995024 RUNNING  18334785
1787362673.098391 RUNNING 18341888 18339778
1787362673.201666 RUNNING 18347008 18344723
1787362673.304796 RUNNING 18352128 18349667
1787362673.407993 RUNNING 18357248 18354612
1787362673.511007 RUNNING 18362368 18359557
1787362673.614082 RUNNING  18364501
1787362673.717249 RUNNING 18371584 18369494
1787362673.820595 RUNNING 18376704 18374439
1787362673.923659 RUNNING 18381824 18379383
1787362674.027607 RUNNING 18386944 18384376
1787362674.131876 RUNNING 18392064 18389369
1787362674.234994 RUNNING 18397184 18394313
1787362674.339254 RUNNING 18402304 18399354
1787362674.442727 RUNNING 18406400 18404299
1787362674.545894 RUNNING 18411520 18409243
1787362674.649063 RUNNING 18416640 18414188
1787362674.752424 RUNNING 18421760 18419181
1787362674.855388 RUNNING 18426880 18424125
1787362674.958590 RUNNING 18432000 18429070
1787362675.061660 RUNNING 18436096 18434015
1787362675.165011 RUNNING 18441216 18438959
1787362675.268028 RUNNING 18446336 18443904
1787362675.371038 RUNNING 18451456 18448849
1787362675.474117 RUNNING 18456576 18453793
1787362675.577186 RUNNING 18461696 18458738
1787362675.680217 RUNNING 18465792 18463683
1787362675.783451 RUNNING 18470912 18468675
1787362675.887871 RUNNING 18476032 18473668
1787362675.996110 RUNNING 18481152 18478853
1787362676.099526 RUNNING 18486272 18483845
1787362676.202848 RUNNING 18491392 18488790
1787362676.305916 RUNNING 18496512 18493735
1787362676.408970 RUNNING 18501632 18498680
1787362676.512027 RUNNING 18505728 18503624
1787362676.615212 RUNNING 18510848 18508569
1787362676.718550 RUNNING 18515968 18513562
1787362676.821978 RUNNING 18521088 18518506
1787362676.925284 RUNNING 18526208 18523451
1787362677.028658 RUNNING 18531328 18528444
1787362677.132018 RUNNING 18536448 18533388
1787362677.235207 RUNNING 18540544 18538333
1787362677.338647 RUNNING 18545664 18543326
1787362677.444439 RUNNING 18550784 18548414
1787362677.549670 RUNNING 18555904 18553455
1787362677.652762 RUNNING 18561024 18558400
1787362677.755840 RUNNING 18566144 18563344
1787362677.858958 RUNNING 18571264 18568289
1787362677.962052 RUNNING 18575360 18573234
1787362678.065299 RUNNING 18580480 18578178
1787362678.168417 RUNNING 18585600 18583123
1787362678.271418 RUNNING 18590720 18588068
1787362678.374500 RUNNING  18593012
1787362678.477561 RUNNING 18600960 18598005
1787362678.580659 RUNNING 18605056 18602950
1787362678.683736 RUNNING 18610176 18607894
1787362678.786770 RUNNING 18615296 18612839
1787362678.889807 RUNNING 18620416 18617784
1787362678.997506 RUNNING 18625536 18622920
1787362679.103833 RUNNING 18630656 18628057
1787362679.206991 RUNNING 18635776 18633002
1787362679.310057 RUNNING 18640896 18637946
1787362679.413039 RUNNING 18644992 18642891
1787362679.516164 RUNNING 18650112 18647836
1787362679.619314 RUNNING 18655232 18652780
1787362679.722558 RUNNING 18660352 18657725
1787362679.825624 RUNNING  18662670
1787362679.928659 RUNNING 18670592 
1787362680.031752 RUNNING 18674688 18672607
1787362680.135865 RUNNING 18679808 18677600
1787362680.241939 RUNNING 18684928 18682688
1787362680.345045 RUNNING 18690048 18687633
1787362680.448461 RUNNING 18695168 18692578
1787362680.552753 RUNNING 18700288 18697618
1787362680.659205 RUNNING 18705408 18702707
1787362680.762310 RUNNING 18710528 18707652
1787362680.865528 RUNNING 18715648 18712596
1787362680.968837 RUNNING 18719744 18717589
1787362681.072058 RUNNING 18724864 18722534
1787362681.175047 RUNNING 18729984 18727478
1787362681.278061 RUNNING 18735104 18732423
1787362681.381180 RUNNING 18740224 18737368
1787362681.484264 RUNNING 18745344 18742312
1787362681.587516 RUNNING 18749440 18747257
1787362681.690800 RUNNING 18754560 18752250
1787362681.794175 RUNNING 18759680 18757194
1787362681.897253 RUNNING 18764800 18762139
FILL_POLL_END
